"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2024","0.7911","0.7853","0.7925","0.7852","","0.78%"
"11/01/2024","0.7849","0.7753","0.8009","0.7664","","1.26%"
"10/01/2024","0.7752","0.7477","0.7786","0.7468","","3.72%"
"09/01/2024","0.7474","0.7621","0.7692","0.7443","","-1.84%"
"08/01/2024","0.7614","0.7778","0.7897","0.7537","","-2.11%"
"07/01/2024","0.7778","0.7908","0.7928","0.7665","","-1.64%"
"06/01/2024","0.7908","0.7854","0.7929","0.7775","","0.79%"
"05/01/2024","0.7846","0.8005","0.8036","0.7811","","-1.99%"
"04/01/2024","0.8005","0.7917","0.8131","0.7867","","1.07%"
"03/01/2024","0.7920","0.7921","0.7953","0.7755","","0.00%"
"02/01/2024","0.7920","0.7882","0.7989","0.7829","","0.49%"
"01/01/2024","0.7881","0.7855","0.7940","0.7821","","0.34%"
"12/01/2023","0.7854","0.7922","0.8001","0.7795","","-0.83%"
"11/01/2023","0.7920","0.8227","0.8268","0.7853","","-3.73%"
"10/01/2023","0.8227","0.8196","0.8308","0.8105","","0.38%"
"09/01/2023","0.8196","0.7890","0.8258","0.7866","","3.90%"
"08/01/2023","0.7888","0.7789","0.7970","0.7786","","1.27%"
"07/01/2023","0.7789","0.7882","0.7901","0.7607","","-1.02%"
"06/01/2023","0.7869","0.8038","0.8086","0.7782","","-2.09%"
"05/01/2023","0.8037","0.7958","0.8125","0.7886","","0.98%"
"04/01/2023","0.7959","0.8111","0.8148","0.7946","","-1.81%"
"03/01/2023","0.8106","0.8318","0.8472","0.8049","","-2.54%"
"02/01/2023","0.8317","0.8117","0.8393","0.8064","","2.48%"
"01/01/2023","0.8116","0.8266","0.8446","0.8033","","-1.79%"
"12/01/2022","0.8264","0.8295","0.8339","0.8033","","-0.35%"
"11/01/2022","0.8293","0.8718","0.8971","0.8227","","-4.86%"
"10/01/2022","0.8717","0.8960","0.9154","0.8586","","-2.68%"
"09/01/2022","0.8957","0.8604","0.9630","0.8518","","4.13%"
"08/01/2022","0.8602","0.8220","0.8622","0.8134","","4.67%"
"07/01/2022","0.8218","0.8212","0.8504","0.8166","","0.09%"
"06/01/2022","0.8211","0.7934","0.8380","0.7925","","3.49%"
"05/01/2022","0.7934","0.7944","0.8227","0.7894","","-0.23%"
"04/01/2022","0.7952","0.7612","0.8058","0.7594","","4.47%"
"03/01/2022","0.7612","0.7451","0.7693","0.7441","","2.17%"
"02/01/2022","0.7450","0.7437","0.7535","0.7329","","0.22%"
"01/01/2022","0.7434","0.7390","0.7487","0.7272","","0.61%"
"12/01/2021","0.7389","0.7519","0.7595","0.7380","","-1.72%"
"11/01/2021","0.7518","0.7308","0.7579","0.7300","","2.96%"
"10/01/2021","0.7302","0.7423","0.7444","0.7228","","-1.60%"
"09/01/2021","0.7421","0.7271","0.7456","0.7187","","2.11%"
"08/01/2021","0.7268","0.7194","0.7352","0.7164","","1.06%"
"07/01/2021","0.7192","0.7231","0.7369","0.7151","","-0.53%"
"06/01/2021","0.7230","0.7036","0.7254","0.7018","","2.77%"
"05/01/2021","0.7035","0.7232","0.7247","0.7025","","-2.79%"
"04/01/2021","0.7237","0.7256","0.7316","0.7138","","-0.23%"
"03/01/2021","0.7254","0.7174","0.7315","0.7134","","1.09%"
"02/01/2021","0.7176","0.7292","0.7371","0.7024","","-1.67%"
"01/01/2021","0.7298","0.7314","0.7434","0.7266","","-0.18%"
"12/01/2020","0.7311","0.7505","0.7613","0.7307","","-2.58%"
"11/01/2020","0.7505","0.7724","0.7780","0.7463","","-2.85%"
"10/01/2020","0.7725","0.7741","0.7801","0.7588","","-0.17%"
"09/01/2020","0.7738","0.7481","0.7890","0.7416","","3.49%"
"08/01/2020","0.7477","0.7637","0.7704","0.7465","","-2.15%"
"07/01/2020","0.7641","0.8064","0.8092","0.7592","","-5.23%"
"06/01/2020","0.8063","0.8105","0.8163","0.7804","","-0.43%"
"05/01/2020","0.8098","0.7937","0.8281","0.7935","","2.00%"
"04/01/2020","0.7939","0.8045","0.8221","0.7907","","-1.39%"
"03/01/2020","0.8051","0.7813","0.8765","0.7575","","3.23%"
"02/01/2020","0.7799","0.7566","0.7858","0.7566","","2.97%"
"01/01/2020","0.7574","0.7541","0.7721","0.7533","","0.52%"
"12/01/2019","0.7535","0.7742","0.7755","0.7398","","-2.54%"
"11/01/2019","0.7731","0.7728","0.7832","0.7700","","0.06%"
"10/01/2019","0.7726","0.8137","0.8200","0.7684","","-5.02%"
"09/01/2019","0.8134","0.8231","0.8363","0.7947","","-1.09%"
"08/01/2019","0.8224","0.8227","0.8323","0.8123","","0.01%"
"07/01/2019","0.8223","0.7877","0.8252","0.7869","","4.41%"
"06/01/2019","0.7876","0.7919","0.7997","0.7822","","-0.47%"
"05/01/2019","0.7913","0.7673","0.7963","0.7584","","3.15%"
"04/01/2019","0.7671","0.7670","0.7773","0.7577","","-0.01%"
"03/01/2019","0.7672","0.7540","0.7724","0.7471","","1.76%"
"02/01/2019","0.7539","0.7628","0.7829","0.7491","","-1.15%"
